Category,URL,Label
HAM,https://urlscan.io/result/e6cb5bed-fa87-4317-bfc3-4d21f13025ef/...added on May 30th 2023 5:19 PM,0
HAM,https://www.mercadopago.com.br/added on May 26th 2023 3:21 PM,0
HAM,https://onedrive.live.com/about/es-us-signin/added on May 26th 2023 5:19 AM,0
HAM,http://url.zp.edu.ua/added on May 26th 2023 5:05 AM,0
HAM,https://bitflyer.com/en-us/added on May 26th 2023 2:04 AM,0
HAM,https://phishtank.org/phish_detail.php?phish_id=8153631...added on May 24th 2023 1:26 AM,0
HAM,https://polo.feathr.co/v1/analytics/crumb?flvr=email_link_click&t_...added on May 23rd 2023 8:17 AM,0
HAM,https://quttera.com/added on May 19th 2023 1:46 PM,0
HAM,http://www.quttera.com/added on May 19th 2023 1:46 PM,0
HAM,https://play.google.com/store/apps/details?id=com.credit.fectivocash.l...added on May 19th 2023 3:38 AM,0
HAM,https://play.google.com/store/apps/details?id=in.crazycoin.play.releas...added on May 19th 2023 3:28 AM,0
HAM,https://185.81.101.37/added on May 19th 2023 12:00 AM,0
HAM,https://ethereum.org/en/added on May 17th 2023 4:10 AM,0
HAM,https://www.esfera.com.vc/p/renner/e000100117added on May 12th 2023 12:52 PM,0
HAM,https://www.cnbbank.com/added on May 8th 2023 11:50 PM,0
HAM,https://www.bigcartel.com/added on May 8th 2023 8:49 PM,0
HAM,https://bigcartel.com/added on May 8th 2023 8:49 PM,0
HAM,https://www.templatern.com/gbr/a7f35688-9c00-4d5e-ba41-29f146377ab0/51...added on May 8th 2023 7:42 AM,0
HAM,https://www.the-dressingroom.com/redirect.php?siteID=QFGLnEolOWg-n4Y11...added on May 8th 2023 7:15 AM,0
HAM,https://www.aidoge.comadded on May 6th 2023 7:31 PM,0
HAM,https://bequettehomes.com//wp-admin/css/bootstrap-min.js...added on May 5th 2023 11:18 AM,0
HAM,https://www.templatern.com/gbr/a7f35688-9c00-4d5e-ba41-29f146377ab0/51...added on May 4th 2023 8:55 AM,0
HAM,https://www.sicoob.com.br/added on May 3rd 2023 3:18 PM,0
